,Day Number_Date_Time_Top Set WeightxNumber of Reps,camera,Lifting Notes,Grip,Beltless,Stiff Bar,Deficiet,Pauses,Top Set Weight,Number of Reps,Time,Effective Weight,Day,Date,Day Number,Average Weight,Daily Delta,DayNumber,X_Combination,Y_Combination,Row_Index,DecimalHour
0,1_20211229_1642_405x1,phone,Day 1,M,0.0,1.0,0.0,0.0,405.0,1.0,1642.0,405.0,,20211229,1,,,,M-Beltless-0.0-StiffBar-1.0,Deficiet-0.0-Pauses-0.0,0,16.7
1,2_20211230_1711_405x1,phone,,M,0.0,1.0,0.0,0.0,405.0,1.0,1711.0,405.0,,20211230,2,,,,M-Beltless-0.0-StiffBar-1.0,Deficiet-0.0-Pauses-0.0,1,17.183333333333334
2,3_20211231_1545_405x1,phone,,M,0.0,1.0,0.0,0.0,405.0,1.0,1545.0,405.0,,20211231,3,,,,M-Beltless-0.0-StiffBar-1.0,Deficiet-0.0-Pauses-0.0,2,15.75
495,496_20230508_926_405x1,,"3x10 strict/push press (5 strict, 5 push) at 135",DO,1.0,1.0,0.0,0.0,405.0,1.0,926.0,405.0,,20230508,496,425.7142857,-20.71428571,,DO-Beltless-1.0-StiffBar-1.0,Deficiet-0.0-Pauses-0.0,495,9.433333333333334
496,497_20230509_1318_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1318.0,405.0,,20230509,497,425.7142857,-20.71428571,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,496,13.3
497,498_20230510_1917_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1917.0,405.0,,20230510,498,425.7142857,-20.71428571,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,497,19.283333333333335
498,499_20230511_1805_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1805.0,405.0,,20230511,499,425.7142857,-20.71428571,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,498,18.083333333333332
499,500_20230512_1406_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1406.0,405.0,,20230512,500,424.2857143,-19.28571429,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,499,14.1
500,501_20230513_1347_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1347.0,405.0,,20230513,501,405.0,0.0,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,500,13.783333333333333
501,502_20230514_1518_405x1,,,M,1.0,0.0,0.0,0.0,405.0,1.0,1518.0,405.0,,20230514,502,405.0,0.0,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,501,15.3
502,503_20230515_702_405x1,,REALTIME 545 AM,M,1.0,0.0,0.0,0.0,405.0,1.0,702.0,405.0,,20230515,503,405.0,0.0,,M-Beltless-1.0-StiffBar-0.0,Deficiet-0.0-Pauses-0.0,502,7.033333333333333
