date,time,type
20220101,1630,Phone
20220102,1309,Phone
20220103,1501,Phone
20220104,1443,Phone
20220105,1624,Phone
20220106,,DJI
20220107,,DJI
20220108,1417,DJI
20220109,1348,DJI
20220110,1644,DJI
20220111,,
20220112,,DJI
20220113,,DJI
20220114,1309,DJI
20220115,1506,DJI
20220116,1252,DJI
20220117,1440,DJI
20220118,1530,DJI
20220119,1741,DJI
20220120,1352,DJI
20220121,,
20220122,1328,DJI
20220123,,DJI
20220124,1203,DJI
20220125,1615,DJI
20220126,1634,DJI
20220127,,DJI
20220128,1625,DJI
20220129,1514,DJI
20220130,1234,DJI
20220131,1506,DJI
20220201,,DJI
20220202,,DJI
20220203,1403,DJI
20220204,1444,DJI
20220205,1559,DJI
20220206,1504,DJI
20220207,,DJI
20220208,1153,DJI
20220209,,Phone
20220210,,DJI
20220211,1308,DJI
20220212,1353,Phone
20220213,1138,DJI
20220214,1338,DJI
20220215,1619,DJI
20220216,,DJI
20220217,1703,DJI
20220218,1223,DJI
20220219,,DJI
20220220,1219,DJI
20220221,1320,DJI
20220222,1735,DJI
20220223,1405,DJI
20220224,1842,DJI
20220225,,
20220226,1641,DJI
20220227,,DJI
20220228,1441,DJI
20220301,1422,DJI
20220302,1333,DJI
20220303,,DJI
20220304,,DJI
20220305,1717,DJI
20220306,,DJI
20220307,1831,DJI
20220308,1953,DJI
20220309,1425,DJI
20220310,1953,DJI
20220311,1233,DJI
20220312,1907,DJI
20220313,1519,DJI
20220314,1706,DJI
20220315,1732,DJI
20220316,1254,DJI
20220317,1606,DJI
20220318,1609,DJI
20220319,1413,DJI
20220320,1433,DJI
20220321,,DJI
20220322,1149,DJI
20220323,,DJI
20220324,1505,DJI
20220325,,DJI
20220326,1404,DJI
20220327,,DJI
20220328,1009,DJI
20220329,,DJI
20220330,1238,DJI
20220331,0954,Phone
20220401,,DJI
20220402,1520,DJI
20220403,0948,DJI
20220404,,DJI
20220405,0922,Phone
20220406,,DJI
20220407,,
20220408,,
20220409,0635,DJI
20220410,0719,Phone
20220411,1907,DJI
20220412,,DJI
20220413,,DJI
20220414,,DJI
20220415,1036,Phone
20220416,1331,DJI
20220417,,
20220418,,DJI
20220419,1241,Phone
20220420,1006,DJI
20220421,1248,Phone
20220422,1734,DJI
20220423,0850,DJI
20220424,,DJI
20220425,1512,Phone
20220426,,Phone
20220427,0855,Phone
20220428,1726,DJI
20220429,1442,DJI
20220430,1531,DJI
20220501,,
20220502,,
20220503,,
20220504,,
20220505,,
20220506,,
20220507,,
20220508,,
20220509,,
20220510,,
20220511,,
20220512,,
20220513,,
20220514,,
20220515,,
20220516,,
20220517,,
20220518,,
20220519,,
20220520,,
20220521,,
20220522,1749,DJI
20220523,,
20220524,,
20220525,,
20220526,,
20220527,,
20220528,,
20220529,,
20220530,,
20220531,,
20220601,1358,DJI
20220602,,
20220603,1417,DJI
20220604,1302,Phone
20220605,,DJI
20220606,,DJI
20220607,0830,DJI
20220608,1927,DJI
20220609,,DJI
20220610,1528,Phone
20220611,,DJI
20220612,1511,DJI
20220613,1003,DJI
20220614,1119,DJI
20220615,1142,DJI
20220616,1014,DJI
20220617,,DJI
20220618,0610,Phone
20220619,,
20220620,,
20220621,0957,DJI
20220622,1522,DJI
20220623,1005,DJI
20220624,1558,DJI
20220625,,DJI
20220626,,DJI
20220627,1522,DJI
20220628,0655,DJI
20220629,1216,DJI
20220630,1356,DJI
20220701,1441,DJI
20220702,1516,DJI
20220703,1422,DJI
20220704,,DJI
20220705,,
20220706,1415,DJI
20220707,1850,Phone
20220708,,
20220709,1653,Phone
20220710,1332,DJI
20220711,1704,DJI
20220712,1445,Phone
20220713,1652,DJI
20220714,0635,DJI
20220715,1423,DJI
20220716,1525,DJI
20220717,,DJI
20220718,1131,Phone
20220719,,DJI
20220720,1608,DJI
20220721,1041,DJI
20220722,1946,DJI
20220723,,DJI
20220724,1317,DJI
20220725,,DJI
20220726,,DJI
20220727,1551,DJI
20220728,0630,DJI
20220729,1809,DJI
20220730,1601,DJI
20220731,,DJI
20220801,1053,DJI
20220802,,DJI
20220803,1156,DJI
20220804,1118,DJI
20220805,1226,DJI
20220806,,DJI
20220807,,DJI
20220808,,DJI
20220809,1421,Phone
20220810,1422,DJI
20220811,1848,DJI
20220812,2010,DJI
20220813,1838,Phone
20220814,1533,DJI
20220815,,DJI
20220816,2007,Phone
20220817,2003,DJI
20220818,,DJI
20220819,1214,DJI
20220820,1909,DJI
20220821,1906,DJI
20220822,1948,DJI
20220823,1313,DJI
20220824,1401,DJI
20220825,,DJI
20220826,1251,DJI
20220827,1244,DJI
20220828,1028,Phone
20220829,1438,DJI
20220830,0617,Phone
20220831,1226,DJI
20220901,1812,DJI
20220902,1255,DJI
20220903,,DJI
20220904,1431,DJI
20220905,,DJI
20220906,,
20220907,,
20220908,0734,DJI
20220909,,DJI
20220910,1012,DJI
20220911,1245,DJI
20220912,1011,Phone
20220913,0657,DJI
20220914,0723,DJI
20220915,0629,DJI
20220916,1258,DJI
20220917,0916,DJI
20220918,1448,DJI
20220919,1458,Phone
20220920,0648,DJI
20220921,1432,DJI
20220922,0630,DJI
20220923,1214,DJI
20220924,0842,Phone
20220925,1229,DJI
20220926,1353,DJI
20220927,0654,DJI
20220928,1359,DJI
20220929,1955,DJI
20220930,0937,DJI
20221001,1342,DJI
20221002,1040,DJI
20221003,1509,Phone
20221004,1713,DJI
20221005,1956,DJI
20221006,0626,DJI
20221007,1626,DJI
20221008,1152,DJI
20221009,,DJI
20221010,1352,DJI
20221011,,DJI
20221012,2041,Phone
20221013,1912,DJI
20221014,0844,DJI
20221015,1713,DJI
20221016,1321,DJI
20221017,,DJI
20221018,2006,DJI
20221019,2107,DJI
20221020,1032,DJI
20221021,1335,DJI
20221022,1600,DJI
20221023,1053,DJI
20221024,,
20221025,1959,DJI
20221026,1047,Phone
20221027,0759,DJI
20221028,1323,Phone
20221029,0945,Phone
20221030,1931,DJI
20221031,1528,DJI
20221101,1341,DJI
20221102,0631,DJI
20221103,0633,DJI
20221104,1449,Phone
20221105,1259,DJI
20221106,,DJI
20221107,1324,Phone
20221108,1959,DJI
20221109,2138,DJI
20221110,,DJI
20221111,1159,DJI
20221112,1703,DJI
20221113,1355,DJI
20221114,1244,DJI
20221115,2036,DJI
20221116,1912,Phone
20221117,1731,DJI
20221118,1716,DJI
20221119,1655,DJI
20221120,1539,DJI
20221121,2107,Phone
20221122,2117,Phone
20221123,1822,DJI
20221124,1701,DJI
20221125,1312,Phone
20221126,,DJI
20221127,1458,DJI
20221128,2102,DJI
